School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
00490,Idaho,Butte County Joint School District 111,467,16%,17%,8%-26%,28%,21%-36%,2%,0%-4%,12%,3%-21%,9%,4%-14%,0%,0%-5%
00510,Idaho,Caldwell School District 132,7827,21%,33%,26%-40%,26%,23%-29%,7%,5%-10%,22%,16%-28%,8%,5%-11%,10%,5%-14%
00540,Idaho,Camas County School District 121,158,13%,23%,2%-44%,28%,17%-39%,1%,0%-9%,13%,4%-23%,0%,0%-11%,0%,0%-15%
00570,Idaho,Cambridge Joint School District 432,193,21%,48%,20%-76%,21%,13%-29%,0%,0%-5%,19%,7%-32%,10%,2%-18%,0%,0%-12%
00600,Idaho,Vallivue School District 139,"10,365",12%,24%,18%-30%,30%,27%-33%,3%,2%-5%,8%,5%-10%,6%,3%-10%,4%,1%-7%
00630,Idaho,Cascade School District 422,279,37%,10%,0%-24%,36%,22%-49%,0%,0%-5%,21%,3%-40%,5%,0%-15%,0%,0%-9%
00660,Idaho,Cassia County Joint School District 151,5568,15%,21%,17%-25%,25%,22%-28%,3%,2%-5%,6%,4%-8%,5%,3%-7%,5%,2%-8%
00690,Idaho,Castleford School District 417,209,15%,7%,1%-14%,20%,12%-27%,4%,0%-11%,20%,2%-38%,3%,0%-7%,14%,0%-37%
00720,Idaho,Challis Joint School District 181,248,29%,40%,17%-63%,33%,25%-41%,1%,0%-4%,2%,0%-9%,0%,0%-7%,0%,0%-10%
00750,Idaho,Clark County School District 161,230,19%,17%,4%-30%,20%,10%-30%,14%,0%-29%,48%,25%-70%,2%,0%-8%,17%,1%-33%
00780,Idaho,Coeur d'Alene School District 271,"12,777",10%,32%,27%-37%,32%,30%-35%,1%,1%-2%,5%,3%-6%,4%,2%-5%,0%,0%-0%
00810,Idaho,Cottonwood Joint School District 242,429,12%,17%,4%-30%,22%,17%-27%,2%,0%-5%,14%,6%-22%,6%,0%-12%,0%,0%-6%
00815,Idaho,Plummer-Worley Joint School District 44,874,28%,48%,39%-57%,37%,33%-41%,3%,2%-5%,27%,20%-33%,6%,3%-8%,0%,0%-3%
00840,Idaho,Council School District 13,318,20%,33%,11%-55%,21%,13%-29%,2%,0%-6%,36%,15%-57%,8%,2%-14%,0%,0%-8%
00870,Idaho,Culdesac Joint School District 342,111,21%,37%,31%-43%,22%,18%-27%,4%,0%-9%,14%,4%-23%,7%,0%-22%,0%,0%-22%
00900,Idaho,Dietrich School District 314,197,21%,2%,0%-3%,20%,8%-31%,14%,0%-27%,5%,0%-12%,0%,0%-9%,11%,0%-32%
00930,Idaho,Bonneville Joint School District 93,"13,490",10%,21%,17%-24%,30%,27%-32%,4%,2%-5%,5%,3%-6%,7%,6%-9%,0%,0%-1%
00960,Idaho,Preston Joint School District 201,2493,10%,13%,5%-20%,27%,22%-33%,3%,1%-6%,11%,5%-17%,10%,6%-14%,0%,0%-2%
01020,Idaho,Emmett Independent School District 221,3049,18%,44%,33%-54%,31%,26%-35%,2%,1%-3%,11%,5%-17%,6%,2%-9%,4%,0%-10%
01050,Idaho,Filer School District 413,1577,11%,22%,13%-31%,24%,19%-29%,4%,1%-6%,9%,4%-14%,4%,1%-8%,0%,0%-2%
01080,Idaho,Firth School District 59,1052,11%,8%,2%-14%,24%,18%-30%,3%,0%-5%,13%,2%-23%,6%,2%-9%,1%,0%-3%
01110,Idaho,Fremont County Joint School District 215,2363,20%,14%,9%-19%,26%,23%-30%,4%,2%-6%,8%,4%-13%,5%,2%-8%,1%,0%-4%
01140,Idaho,Fruitland School District 373,1979,12%,16%,5%-26%,23%,17%-28%,4%,1%-7%,18%,8%-28%,11%,5%-17%,0%,0%-2%
01170,Idaho,Garden Valley School District 71,466,18%,30%,18%-41%,22%,16%-28%,2%,0%-5%,7%,1%-13%,6%,0%-11%,0%,0%-5%
01200,Idaho,Genesee Joint School District 282,341,7%,10%,3%-18%,22%,17%-26%,1%,0%-5%,13%,2%-23%,8%,2%-14%,1%,0%-7%
01230,Idaho,Glenns Ferry Joint School District 192,614,28%,30%,14%-47%,21%,15%-28%,3%,0%-6%,32%,16%-49%,2%,1%-4%,14%,1%-28%
01260,Idaho,Gooding Joint School District 231,1377,18%,35%,19%-51%,29%,22%-35%,3%,0%-6%,27%,13%-42%,4%,1%-8%,6%,0%-13%
01290,Idaho,Grace Joint School District 148,506,12%,14%,4%-25%,23%,17%-28%,3%,0%-6%,6%,0%-13%,6%,0%-11%,2%,0%-7%
01380,Idaho,Hagerman Joint School District 233,476,19%,16%,5%-27%,21%,16%-26%,3%,0%-6%,14%,2%-26%,10%,4%-15%,6%,0%-15%
01410,Idaho,Hansen School District 415,500,14%,35%,21%-50%,26%,21%-31%,2%,0%-6%,11%,2%-20%,9%,2%-15%,13%,0%-26%
01440,Idaho,Highland Joint School District 305,240,12%,17%,9%-25%,16%,12%-20%,1%,0%-4%,13%,7%-19%,12%,6%-17%,0%,0%-10%
01470,Idaho,Homedale Joint School District 370,1147,17%,35%,21%-49%,27%,22%-32%,7%,3%-11%,39%,21%-56%,5%,1%-9%,3%,0%-7%
01500,Idaho,Horseshoe Bend School District 73,260,15%,32%,15%-48%,23%,14%-31%,0%,0%-4%,23%,12%-34%,6%,0%-13%,2%,0%-11%
01530,Idaho,Idaho Falls School District 91,"11,480",13%,27%,22%-33%,29%,27%-31%,2%,2%-3%,6%,3%-9%,6%,4%-8%,1%,0%-3%
01570,Idaho,Jefferson County Joint School District 251,6241,9%,15%,11%-19%,24%,21%-27%,4%,3%-6%,7%,4%-10%,2%,1%-4%,1%,0%-3%
01590,Idaho,Jerome Joint School District 261,4459,16%,23%,16%-30%,22%,18%-26%,6%,4%-9%,20%,14%-27%,4%,2%-6%,17%,11%-24%
01620,Idaho,Kamiah Joint School District 304,695,37%,42%,29%-54%,21%,17%-25%,5%,3%-7%,17%,9%-25%,5%,3%-7%,0%,0%-3%
01650,Idaho,Kellogg Joint School District 391,1186,20%,41%,32%-51%,35%,31%-38%,2%,1%-3%,13%,6%-21%,5%,1%-8%,0%,0%-3%
01680,Idaho,Kendrick Joint School District 283,273,10%,30%,15%-45%,19%,14%-23%,3%,0%-7%,7%,2%-13%,4%,1%-7%,0%,0%-9%
01710,Idaho,Kimberly School District 414,1821,11%,13%,7%-19%,35%,28%-42%,2%,0%-5%,1%,0%-3%,5%,1%-9%,0%,0%-2%
01740,Idaho,Kootenai Joint School District 274,230,17%,24%,16%-32%,15%,11%-19%,3%,0%-7%,8%,0%-18%,6%,0%-14%,0%,0%-10%
01770,Idaho,Kuna Joint School District 3,6842,8%,21%,9%-33%,29%,24%-34%,1%,0%-2%,3%,0%-9%,10%,5%-15%,0%,0%-1%
01800,Idaho,Lakeland Joint School District 272,5073,11%,27%,20%-35%,27%,23%-30%,3%,2%-5%,10%,5%-15%,6%,4%-9%,0%,0%-1%
01830,Idaho,Lapwai School District 341,604,18%,49%,39%-59%,26%,22%-29%,7%,4%-9%,19%,12%-25%,13%,8%-17%,0%,0%-4%
01860,Idaho,Lewiston Independent School District 340,5282,12%,34%,27%-41%,31%,28%-34%,2%,1%-3%,11%,7%-15%,9%,6%-12%,1%,0%-3%
01900,Idaho,Mackay Joint School District 182,340,10%,2%,0%-5%,17%,10%-23%,2%,0%-6%,10%,0%-21%,0%,0%-5%,0%,0%-7%
01920,Idaho,Madison School District 321,5564,16%,11%,7%-15%,30%,26%-33%,8%,6%-11%,7%,4%-10%,6%,4%-8%,0%,0%-1%
01950,Idaho,Marsh Valley Joint School District 21,1421,13%,21%,10%-31%,23%,19%-28%,1%,0%-3%,7%,3%-10%,5%,1%-8%,0%,0%-2%
01980,Idaho,Marsing Joint School District 363,1244,18%,25%,14%-35%,22%,15%-29%,11%,5%-17%,33%,21%-44%,3%,1%-5%,8%,2%-14%
02030,Idaho,McCall-Donnelly Joint School District 421,1143,6%,25%,8%-41%,37%,25%-48%,0%,0%-2%,15%,3%-27%,5%,0%-10%,0%,0%-3%
02060,Idaho,Meadows Valley School District 11,163,22%,51%,28%-74%,30%,20%-40%,2%,0%-7%,38%,12%-65%,7%,1%-14%,20%,0%-46%
02070,Idaho,Melba Joint School District 136,805,12%,13%,6%-20%,26%,19%-32%,4%,1%-8%,15%,4%-26%,4%,1%-8%,10%,0%-22%
02100,Idaho,Meridian Joint School District 2,"45,933",8%,21%,19%-24%,29%,27%-30%,1%,1%-2%,6%,4%-7%,3%,2%-4%,0%,0%-1%
02130,Idaho,Middleton School District 134,4207,9%,16%,10%-21%,29%,25%-34%,2%,1%-4%,10%,6%-15%,5%,3%-7%,0%,0%-1%
02160,Idaho,Midvale School District 433,148,27%,26%,6%-47%,20%,9%-30%,2%,0%-10%,15%,2%-29%,0%,0%-11%,0%,0%-16%
02190,Idaho,Minidoka County Joint School District 331,4387,15%,34%,23%-44%,28%,24%-32%,4%,2%-5%,13%,8%-17%,6%,4%-9%,12%,7%-17%
02220,Idaho,Moscow School District 281,3322,9%,16%,9%-23%,28%,25%-32%,1%,0%-3%,5%,1%-8%,7%,3%-11%,0%,0%-1%
02250,Idaho,Mountain Home School District 193,4005,19%,34%,26%-42%,26%,23%-30%,2%,1%-3%,11%,6%-16%,7%,4%-10%,4%,1%-8%
02280,Idaho,Mullan School District 392,188,38%,20%,9%-31%,35%,25%-45%,4%,0%-13%,10%,1%-18%,7%,1%-14%,0%,0%-13%
02310,Idaho,Murtaugh Joint School District 418,348,15%,27%,12%-42%,12%,8%-17%,6%,0%-14%,9%,1%-17%,2%,0%-4%,23%,3%-43%
02340,Idaho,Nampa School District 131,"18,986",12%,27%,23%-31%,31%,28%-33%,4%,3%-4%,9%,6%-12%,6%,4%-7%,3%,1%-4%
02370,Idaho,New Plymouth School District 372,1068,16%,26%,15%-38%,23%,18%-28%,8%,3%-12%,6%,1%-12%,12%,6%-19%,0%,0%-2%
02400,Idaho,Nezperce Joint School District 302,185,11%,5%,1%-9%,21%,18%-25%,3%,0%-10%,7%,0%-14%,5%,1%-9%,0%,0%-13%
02430,Idaho,North Gem School District 149,129,7%,4%,0%-8%,15%,8%-22%,4%,0%-12%,4%,0%-13%,2%,0%-11%,0%,0%-19%
02460,Idaho,Notus School District 135,366,12%,31%,11%-50%,26%,19%-33%,5%,0%-11%,9%,0%-21%,5%,0%-11%,11%,0%-29%
02490,Idaho,Oneida County School District 351,998,13%,17%,8%-27%,23%,18%-28%,3%,0%-6%,7%,2%-11%,6%,2%-10%,7%,0%-13%
02520,Idaho,Orofino Joint School District 171,1126,19%,25%,18%-32%,20%,17%-23%,2%,1%-3%,10%,6%-15%,3%,1%-6%,0%,0%-3%
02550,Idaho,Parma School District 137,1223,12%,26%,14%-37%,23%,18%-29%,5%,2%-8%,19%,5%-32%,4%,2%-6%,8%,2%-13%
02580,Idaho,Payette Joint School District 371,1636,18%,25%,12%-39%,28%,23%-34%,6%,3%-9%,25%,11%-38%,7%,2%-12%,0%,0%-2%
02610,Idaho,Pleasant Valley Elementary School District 364,0,20%,0%,0%-100%,47%,0%-100%,0%,0%-79%,0%,0%-100%,0%,0%-100%,0%,0%-100%
02640,Idaho,Pocatello School District 25,"14,895",14%,26%,22%-30%,27%,25%-29%,2%,2%-3%,7%,5%-9%,8%,7%-10%,1%,0%-3%
02670,Idaho,Post Falls School District 273,7840,11%,38%,29%-46%,31%,28%-34%,2%,0%-3%,9%,4%-13%,7%,5%-10%,0%,0%-1%
02700,Idaho,Potlatch School District 285,724,11%,34%,11%-56%,20%,14%-25%,2%,0%-5%,16%,3%-28%,20%,5%-34%,0%,0%-3%
02730,Idaho,Prairie Elementary School District 191,10,12%,0%,0%-100%,8%,0%-60%,3%,0%-44%,43%,0%-100%,20%,0%-100%,0%,0%-100%
02760,Idaho,Richfield School District 316,327,21%,13%,5%-22%,14%,8%-19%,5%,0%-11%,14%,4%-25%,4%,0%-8%,0%,0%-7%
02790,Idaho,Ririe Joint School District 252,555,7%,16%,8%-24%,33%,26%-40%,2%,0%-5%,18%,7%-29%,11%,3%-19%,0%,0%-4%
02820,Idaho,Rockland School District 382,107,17%,2%,0%-5%,18%,10%-27%,6%,0%-25%,14%,0%-38%,1%,0%-12%,0%,0%-22%
02850,Idaho,Salmon School District 291,939,22%,23%,12%-33%,31%,25%-37%,3%,1%-5%,16%,6%-25%,12%,7%-18%,0%,0%-4%
02910,Idaho,Shelley Joint School District 60,2320,11%,17%,9%-26%,23%,18%-28%,1%,0%-3%,2%,0%-5%,8%,3%-12%,1%,0%-4%
02940,Idaho,Shoshone Joint School District 312,721,16%,23%,12%-35%,21%,16%-26%,5%,1%-8%,37%,21%-53%,8%,2%-15%,17%,6%-29%
02970,Idaho,Snake River School District 52,1890,13%,20%,12%-29%,23%,18%-28%,5%,2%-9%,1%,0%-4%,7%,4%-10%,1%,0%-4%
03000,Idaho,Soda Springs Joint School District 150,1005,10%,10%,4%-15%,20%,15%-25%,2%,0%-4%,4%,0%-8%,1%,0%-2%,0%,0%-2%
03030,Idaho,South Lemhi School District 292,123,14%,20%,0%-46%,16%,7%-25%,9%,0%-20%,19%,0%-41%,2%,0%-12%,0%,0%-20%
03060,Idaho,St. Maries Joint School District 41,996,14%,20%,14%-26%,24%,20%-28%,6%,2%-10%,15%,8%-21%,2%,1%-3%,0%,0%-3%
03090,Idaho,Sugar-Salem Joint School District 322,1346,14%,13%,5%-21%,24%,19%-30%,4%,1%-7%,7%,1%-13%,4%,0%-9%,2%,0%-5%
03120,Idaho,Swan Valley Elementary School District 92,74,5%,32%,7%-57%,29%,16%-42%,0%,0%-10%,0%,0%-22%,8%,0%-27%,0%,0%-32%
03180,Idaho,Teton County School District 401,2137,10%,22%,14%-29%,33%,28%-39%,2%,1%-4%,13%,6%-19%,3%,1%-6%,8%,4%-13%
03210,Idaho,Three Creek Joint Elementary School District 416,7,25%,67%,4%-100%,33%,0%-100%,15%,0%-88%,88%,2%-100%,0%,0%-100%,0%,0%-100%
03240,Idaho,Twin Falls School District 411,"11,175",16%,24%,20%-28%,32%,30%-35%,3%,2%-4%,13%,9%-18%,7%,5%-9%,2%,0%-3%
03270,Idaho,Valley School District 262,767,13%,21%,11%-32%,13%,9%-17%,5%,1%-8%,21%,8%-35%,1%,0%-1%,5%,0%-10%
03300,Idaho,Wallace School District 393,511,24%,17%,6%-28%,41%,35%-48%,3%,0%-5%,12%,4%-21%,23%,11%-36%,0%,0%-5%
03330,Idaho,Weiser School District 431,1589,19%,40%,28%-52%,27%,21%-33%,3%,1%-6%,22%,13%-30%,9%,5%-14%,9%,3%-16%
03360,Idaho,Wendell School District 232,1066,18%,30%,18%-42%,15%,11%-19%,8%,3%-14%,22%,11%-33%,3%,0%-7%,12%,2%-22%
03400,Idaho,West Jefferson School District 253,574,12%,6%,2%-10%,21%,15%-26%,4%,0%-8%,14%,5%-23%,1%,0%-3%,4%,0%-10%
03420,Idaho,West Side Joint School District 202,835,13%,16%,8%-23%,23%,19%-27%,5%,1%-10%,10%,4%-15%,5%,2%-8%,0%,0%-3%
03480,Idaho,Wilder School District 133,809,16%,36%,21%-52%,28%,22%-35%,9%,4%-14%,38%,23%-54%,14%,8%-20%,11%,0%-24%
00001,Illinois,River Ridge Community Unit School District 210,373,11%,34%,21%-47%,28%,24%-33%,0%,0%-2%,4%,0%-8%,3%,0%-6%,0%,0%-6%
00002,Illinois,Casey-Westfield Community Unit School District 4C,939,14%,45%,30%-61%,24%,19%-28%,0%,0%-2%,8%,2%-14%,14%,7%-21%,0%,0%-3%
00003,Illinois,Blue Ridge Community Unit School District 18,614,11%,34%,21%-48%,34%,28%-39%,2%,0%-4%,13%,4%-22%,2%,0%-4%,0%,0%-4%
00004,Illinois,Norris City-Omaha-Enfield Community Unit School District 3,793,18%,26%,15%-38%,20%,16%-24%,1%,0%-2%,12%,5%-19%,10%,5%-14%,0%,0%-3%
00005,Illinois,Prairie Central Community Unit School District 8,1910,11%,27%,17%-38%,23%,19%-26%,1%,0%-2%,13%,8%-19%,6%,3%-9%,2%,0%-4%
00007,Illinois,Eastland Community Unit School District 308,543,12%,20%,11%-29%,21%,17%-24%,0%,0%-2%,5%,0%-10%,6%,1%-12%,0%,0%-4%
00009,Illinois,Pinckneyville School District 50,779,19%,35%,9%-61%,29%,22%-36%,1%,0%-2%,5%,0%-10%,0%,0%-3%,0%,0%-4%
00010,Illinois,Beach Park Community Consolidated School District 3,4623,14%,28%,20%-37%,30%,26%-34%,3%,1%-5%,10%,4%-16%,2%,0%-4%,1%,0%-2%
00014,Illinois,Goreville Community Unit School District 1,573,10%,25%,15%-36%,18%,14%-23%,0%,0%-2%,9%,0%-19%,2%,0%-4%,0%,0%-4%
00015,Illinois,Joppa-Maple Grove Unit District 38,318,24%,24%,10%-38%,24%,18%-30%,7%,1%-13%,51%,27%-74%,5%,2%-8%,0%,0%-7%
00041,Illinois,Gibson City-Melvin-Sibley Community Unit School District 5,1072,15%,29%,15%-43%,27%,22%-33%,0%,0%-2%,9%,4%-13%,2%,0%-3%,0%,0%-3%
00044,Illinois,Farmington Central Community Unit School District 265,1383,10%,25%,19%-31%,29%,25%-33%,2%,0%-3%,8%,4%-12%,7%,3%-10%,0%,0%-2%
00045,Illinois,Gallatin Community Unit School District 7,709,26%,47%,35%-58%,21%,17%-26%,1%,0%-3%,11%,5%-17%,15%,9%-20%,0%,0%-3%
00065,Illinois,Saunemin Community Consolidated School District 438,182,13%,22%,10%-34%,27%,22%-33%,1%,0%-7%,23%,9%-37%,9%,1%-16%,7%,0%-22%
00077,Illinois,Marengo-Union Elementary Consolidated District 165,2117,10%,24%,16%-32%,25%,20%-29%,2%,0%-3%,3%,0%-7%,4%,1%-8%,1%,0%-3%
00092,Illinois,Georgetown-Ridge Farm Consolidated Unit School District 4,1056,21%,32%,21%-44%,27%,21%-32%,1%,0%-2%,16%,9%-23%,6%,2%-9%,0%,0%-3%
00102,Illinois,Brussels Community Unit School District 42,236,8%,18%,8%-27%,28%,21%-35%,0%,0%-4%,13%,1%-26%,11%,3%-19%,0%,0%-9%
00103,Illinois,New Holland-Middletown Elementary School District 88,183,13%,30%,21%-39%,24%,19%-30%,0%,0%-6%,4%,0%-10%,2%,0%-5%,0%,0%-12%
00105,Illinois,A-C Central Community Unit School District 262,433,13%,37%,22%-52%,34%,28%-40%,2%,0%-4%,11%,4%-17%,8%,3%-13%,0%,0%-5%
00106,Illinois,Heritage Community Unit School District 8,616,10%,12%,9%-15%,23%,18%-28%,2%,0%-5%,11%,2%-20%,7%,3%-11%,0%,0%-4%
00109,Illinois,Ridgeview Community Unit School District 19,685,9%,37%,26%-48%,25%,21%-29%,0%,0%-2%,14%,7%-22%,2%,0%-3%,0%,0%-3%
00110,Illinois,North Chicago School District 187,3593,23%,41%,33%-49%,36%,31%-41%,4%,2%-5%,9%,4%-13%,6%,4%-9%,13%,7%-19%
00112,Illinois,Streator Elementary School District 44,2612,26%,43%,32%-53%,30%,25%-34%,2%,1%-3%,14%,8%-21%,4%,2%-6%,0%,0%-1%
00113,Illinois,Illini Central Community Unit School District 189,691,20%,31%,20%-42%,23%,19%-27%,0%,0%-2%,9%,4%-13%,12%,7%-17%,0%,0%-3%
00114,Illinois,South Central Community Unit School District 401,721,20%,27%,19%-35%,27%,23%-32%,1%,0%-3%,8%,4%-12%,6%,1%-11%,0%,0%-3%
00115,Illinois,Henry-Senachwine Consolidated Unit School District 5,507,14%,21%,9%-33%,28%,23%-33%,0%,0%-2%,8%,1%-16%,9%,3%-16%,0%,0%-4%
00119,Illinois,North Shore School District 112,6734,7%,18%,14%-22%,27%,25%-29%,2%,1%-2%,1%,0%-3%,4%,2%-5%,2%,0%-4%
00120,Illinois,Lostant Community Unit School District 425,145,13%,31%,11%-51%,24%,18%-30%,0%,0%-8%,0%,0%-10%,15%,5%-25%,0%,0%-15%
00122,Illinois,Shiloh Community Unit School District 1,358,19%,31%,19%-44%,24%,19%-28%,0%,0%-2%,9%,5%-14%,11%,4%-17%,0%,0%-6%
00123,Illinois,Meridian Community Unit School District 15,1089,12%,33%,22%-43%,26%,22%-30%,1%,0%-2%,15%,7%-23%,4%,2%-6%,0%,0%-3%
00125,Illinois,Bureau Valley Community Unit School District 340,1125,15%,31%,24%-38%,33%,30%-36%,0%,0%-2%,11%,7%-16%,5%,2%-7%,0%,0%-3%
00126,Illinois,Midland Community Unit School District 7,720,11%,17%,11%-23%,25%,21%-29%,1%,0%-3%,9%,4%-14%,5%,1%-9%,0%,0%-4%
00153,Illinois,Lewistown Community Unit School District 97,741,13%,36%,25%-46%,22%,18%-26%,1%,0%-3%,6%,1%-11%,4%,1%-8%,0%,0%-3%
00176,Illinois,Cowden-Herrick Community Unit School District 3A,442,20%,41%,19%-63%,29%,21%-36%,1%,0%-3%,22%,13%-30%,1%,0%-4%,0%,0%-5%
00217,Illinois,Christopher Community Unit School District 99,996,27%,31%,22%-39%,31%,26%-36%,1%,0%-2%,8%,4%-12%,14%,8%-20%,0%,0%-2%
00222,Illinois,Nippersink School District 2,1976,6%,19%,12%-26%,31%,26%-36%,2%,0%-3%,1%,0%-3%,3%,1%-5%,0%,0%-2%
00223,Illinois,Okaw Valley Community Unit School District 302,625,11%,15%,7%-23%,24%,19%-29%,3%,1%-6%,9%,4%-15%,4%,0%-8%,0%,0%-4%
00310,Illinois,West Carroll Community Unit School District 314,1146,18%,21%,15%-27%,22%,18%-25%,1%,0%-2%,15%,4%-26%,12%,7%-18%,0%,0%-3%
00314,Illinois,West Prairie Community Unit School District 103,736,23%,35%,25%-45%,28%,22%-33%,1%,0%-2%,12%,6%-18%,6%,0%-12%,0%,0%-3%
00319,Illinois,West Central Community Unit School District 235,852,12%,27%,18%-36%,24%,21%-28%,1%,0%-2%,6%,2%-10%,3%,1%-6%,0%,0%-4%
00320,Illinois,Monmouth-Roseville Community Unit School District 238,1629,16%,44%,34%-54%,21%,18%-24%,6%,3%-8%,8%,2%-13%,6%,2%-10%,1%,0%-3%
00321,Illinois,United Community School District 304,1059,14%,33%,24%-42%,22%,19%-25%,1%,0%-2%,7%,3%-10%,5%,2%-8%,11%,3%-19%
00323,Illinois,Crescent Iroquois Community Unit School District 249,159,14%,42%,16%-68%,24%,20%-28%,2%,0%-7%,22%,2%-42%,13%,1%-25%,0%,0%-14%
00324,Illinois,Sangamon Valley Community Unit School District 9,563,11%,27%,21%-33%,20%,17%-24%,2%,0%-4%,8%,0%-17%,10%,4%-17%,0%,0%-4%
00326,Illinois,El Paso-Gridley Community Unit School District 11,1285,9%,28%,20%-36%,29%,25%-33%,1%,0%-2%,6%,4%-9%,6%,3%-9%,0%,0%-2%
00330,Illinois,Prairieview-Ogden Community Consolidated School District 197,393,7%,21%,11%-31%,27%,21%-32%,0%,0%-3%,7%,0%-14%,1%,0%-3%,0%,0%-6%
00332,Illinois,Schuyler-Industry Community Unit School District 5,1116,14%,45%,37%-53%,25%,21%-28%,0%,0%-1%,6%,2%-11%,6%,2%-11%,0%,0%-3%
01381,Illinois,La Harpe Community School District 347,280,16%,20%,10%-31%,20%,15%-24%,1%,0%-3%,21%,7%-35%,8%,3%-12%,0%,0%-8%
01382,Illinois,Thompsonville Community Unit School District 174,290,20%,25%,16%-35%,22%,16%-29%,1%,0%-4%,11%,2%-19%,2%,0%-8%,0%,0%-8%
01384,Illinois,Illini West High School District 307,1264,11%,28%,19%-38%,23%,20%-26%,1%,0%-2%,10%,5%-14%,6%,3%-8%,0%,0%-2%
01385,Illinois,Carthage Elementary School District 317,675,13%,24%,13%-35%,26%,21%-30%,1%,0%-3%,4%,0%-7%,5%,1%-9%,0%,0%-3%
01387,Illinois,Western Community Unit School District 12,544,25%,37%,25%-49%,24%,20%-28%,1%,0%-3%,9%,5%-13%,3%,1%-6%,0%,0%-4%
01388,Illinois,Dallas Elementary School District 327,309,28%,43%,23%-63%,19%,15%-23%,2%,0%-5%,10%,1%-19%,5%,0%-11%,0%,0%-7%
01390,Illinois,Flanagan-Cornell District 74,249,13%,44%,32%-57%,27%,22%-31%,3%,0%-7%,6%,0%-13%,10%,4%-15%,0%,0%-9%
01395,Illinois,Mercer County School District 404,1235,13%,20%,14%-26%,23%,19%-28%,0%,0%-1%,8%,4%-12%,4%,0%-9%,0%,0%-2%
01403,Illinois,North Mac Community Unit School District 34,1598,17%,27%,20%-35%,24%,20%-28%,1%,0%-3%,7%,3%-10%,5%,0%-10%,0%,0%-2%
01404,Illinois,Odin Public School District 722,330,33%,46%,28%-64%,28%,21%-34%,0%,0%-4%,6%,1%-11%,12%,3%-22%,0%,0%-7%
01411,Illinois,East Coloma-Nelson Consolidated Elementary School District 20,397,15%,44%,29%-59%,26%,21%-32%,2%,0%-4%,8%,3%-13%,10%,5%-16%,0%,0%-6%
01413,Illinois,Abingdon-Avon Community Unit School District 276,1002,22%,27%,15%-39%,30%,25%-35%,2%,0%-5%,22%,3%-40%,6%,2%-11%,0%,0%-3%
01416,Illinois,Milford Area Public School District 124,702,18%,37%,30%-45%,31%,27%-36%,2%,0%-3%,17%,9%-25%,8%,4%-13%,0%,0%-3%
01417,Illinois,Bluford Unit School District 318,433,17%,23%,11%-36%,35%,30%-41%,4%,1%-8%,11%,4%-19%,1%,0%-3%,0%,0%-5%
01418,Illinois,Salt Fork Community Unit School District 512,705,9%,17%,11%-23%,24%,19%-28%,1%,0%-2%,13%,6%-19%,2%,0%-4%,0%,0%-3%
01419,Illinois,Spring Garden Community Consolidated School District 178,370,24%,34%,26%-41%,28%,24%-32%,2%,0%-4%,27%,10%-44%,5%,0%-9%,0%,0%-6%
01422,Illinois,Woodlawn Unit District 209,462,13%,34%,15%-53%,33%,27%-40%,2%,0%-5%,8%,4%-12%,5%,1%-8%,0%,0%-5%
03150,Illinois,Addison School District 4,6066,12%,31%,23%-38%,30%,27%-32%,5%,3%-6%,12%,8%-16%,3%,1%-4%,12%,7%-17%
03210,Illinois,Akin Community Consolidated School District 91,110,18%,28%,11%-44%,23%,15%-31%,0%,0%-8%,19%,8%-30%,8%,0%-16%,0%,0%-20%
03270,Illinois,Albers School District 63,328,9%,22%,5%-39%,21%,15%-26%,7%,0%-18%,27%,3%-52%,2%,0%-6%,0%,0%-7%
03300,Illinois,Alden-Hebron School District 19,498,17%,24%,12%-37%,28%,21%-34%,2%,0%-5%,16%,4%-28%,2%,0%-5%,21%,0%-49%
03420,Illinois,Allen Township Community Consolidated School District 65,167,11%,27%,9%-45%,28%,23%-34%,0%,0%-7%,0%,0%-8%,2%,0%-5%,0%,0%-13%
03450,Illinois,Allendale Community Consolidated School District 17,326,20%,23%,10%-37%,25%,18%-32%,2%,0%-8%,5%,0%-12%,1%,0%-5%,0%,0%-7%
03480,Illinois,Alsip-Hazelgreen-Oaklawn School District 126,2562,16%,36%,28%-45%,28%,25%-31%,2%,1%-3%,15%,8%-22%,3%,1%-6%,2%,0%-6%
03510,Illinois,Altamont Community Unit School District 10,755,14%,16%,4%-29%,31%,26%-36%,1%,0%-3%,17%,4%-31%,5%,1%-9%,0%,0%-3%
03600,Illinois,Alton Community Unit School District 11,7604,23%,50%,43%-56%,31%,28%-33%,1%,1%-2%,10%,7%-13%,9%,7%-11%,0%,0%-1%
03660,Illinois,Alwood Community Unit School District 225,390,12%,19%,6%-32%,27%,23%-31%,0%,0%-3%,3%,1%-5%,6%,1%-11%,0%,0%-6%
