School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
11460,Texas,Brock Independent School District,1152,6%,11%,4%-18%,28%,18%-38%,1%,0%-3%,9%,1%-17%,6%,1%-10%,0%,0%-2%
11490,Texas,Bronte Independent School District,197,19%,50%,23%-77%,20%,12%-28%,0%,0%-4%,21%,3%-39%,0%,0%-9%,0%,0%-13%
11520,Texas,Brookeland Independent School District,345,28%,14%,1%-27%,26%,13%-39%,0%,0%-4%,12%,1%-22%,4%,0%-9%,0%,0%-8%
11550,Texas,Brookesmith Independent School District,95,9%,19%,6%-32%,24%,17%-32%,1%,0%-9%,23%,5%-41%,2%,0%-16%,0%,0%-27%
11580,Texas,Brooks County Independent School District,1344,49%,62%,45%-80%,31%,24%-38%,6%,3%-9%,24%,12%-35%,3%,1%-6%,3%,0%-7%
11610,Texas,Brownfield Independent School District,2124,32%,37%,24%-50%,26%,19%-33%,5%,2%-8%,22%,12%-31%,4%,0%-8%,9%,2%-16%
11640,Texas,Brownsboro Independent School District,2379,23%,30%,20%-41%,27%,23%-31%,1%,1%-2%,24%,15%-33%,11%,5%-17%,1%,0%-4%
11680,Texas,Brownsville Independent School District,"44,293",41%,40%,37%-44%,30%,28%-31%,13%,12%-14%,54%,50%-57%,6%,5%-7%,13%,11%-15%
11700,Texas,Brownwood Independent School District,3451,21%,26%,18%-33%,29%,25%-32%,1%,0%-2%,18%,12%-24%,7%,4%-9%,2%,0%-5%
11730,Texas,Bruceville-Eddy Independent School District,583,17%,42%,23%-60%,31%,21%-40%,2%,0%-5%,18%,6%-30%,6%,2%-11%,0%,0%-4%
11790,Texas,Bryan Independent School District,"16,957",24%,42%,38%-47%,30%,28%-32%,4%,3%-5%,16%,13%-19%,5%,4%-7%,9%,6%-12%
11820,Texas,Bryson Independent School District,256,25%,28%,7%-49%,31%,22%-41%,4%,0%-9%,38%,20%-56%,20%,8%-32%,6%,0%-18%
11850,Texas,Buckholts Independent School District,162,28%,17%,4%-30%,22%,14%-30%,7%,0%-19%,64%,28%-99%,4%,0%-14%,0%,0%-16%
11910,Texas,Buena Vista Independent School District,55,27%,53%,23%-83%,16%,0%-34%,3%,0%-29%,18%,0%-46%,0%,0%-33%,9%,0%-51%
11990,Texas,Buffalo Independent School District,968,27%,28%,15%-41%,22%,16%-28%,2%,0%-4%,27%,15%-40%,4%,0%-8%,10%,3%-16%
12060,Texas,Bullard Independent School District,2874,15%,17%,11%-24%,33%,27%-39%,4%,1%-7%,16%,6%-26%,7%,3%-11%,2%,0%-5%
12090,Texas,Buna Independent School District,1317,23%,20%,0%-41%,19%,12%-26%,2%,0%-4%,22%,12%-32%,0%,0%-2%,0%,0%-3%
12120,Texas,Burkburnett Independent School District,2796,15%,29%,19%-39%,32%,28%-36%,1%,0%-2%,4%,0%-9%,6%,2%-11%,0%,0%-2%
12150,Texas,Burkeville Independent School District,275,22%,32%,11%-53%,24%,15%-33%,3%,0%-6%,13%,0%-26%,12%,1%-24%,0%,0%-9%
12180,Texas,Burleson Independent School District,"12,368",10%,35%,29%-41%,30%,28%-32%,2%,1%-2%,9%,5%-12%,2%,1%-3%,1%,0%-2%
12220,Texas,Burnet Consolidated Independent School District,3699,18%,37%,26%-48%,28%,25%-32%,3%,1%-5%,21%,15%-27%,14%,8%-20%,1%,0%-3%
12240,Texas,Burton Independent School District,227,14%,29%,0%-59%,30%,18%-41%,3%,0%-7%,0%,0%-6%,27%,0%-53%,0%,0%-11%
12360,Texas,Bynum Independent School District,258,10%,28%,8%-48%,36%,28%-44%,3%,0%-11%,12%,0%-29%,2%,0%-7%,0%,0%-10%
12390,Texas,Caddo Mills Independent School District,2195,11%,28%,17%-39%,26%,21%-31%,2%,0%-4%,11%,4%-18%,6%,2%-9%,1%,0%-3%
12420,Texas,Calallen Independent School District,4458,12%,31%,23%-39%,29%,24%-34%,3%,2%-5%,4%,1%-6%,5%,2%-8%,1%,0%-2%
12460,Texas,Caldwell Independent School District,1723,22%,21%,12%-30%,22%,17%-27%,4%,2%-6%,15%,7%-22%,4%,1%-8%,0%,0%-2%
12480,Texas,Calhoun County Independent School District,3958,22%,35%,28%-43%,20%,16%-23%,8%,6%-11%,13%,7%-19%,5%,3%-8%,6%,2%-10%
12510,Texas,Callisburg Independent School District,731,21%,29%,8%-50%,28%,21%-34%,2%,0%-4%,14%,4%-24%,4%,0%-8%,0%,0%-5%
12540,Texas,Calvert Independent School District,376,46%,52%,42%-63%,26%,17%-35%,10%,2%-17%,13%,1%-25%,5%,0%-10%,0%,0%-7%
12640,Texas,Cameron Independent School District,1686,30%,57%,37%-77%,20%,14%-26%,5%,2%-7%,24%,10%-37%,4%,1%-6%,0%,0%-2%
12660,Texas,Campbell Independent School District,538,23%,24%,13%-35%,29%,21%-36%,7%,1%-13%,18%,3%-33%,6%,1%-10%,2%,0%-7%
12700,Texas,Canadian Independent School District,1013,12%,22%,12%-32%,26%,20%-33%,7%,1%-12%,33%,20%-46%,3%,1%-5%,19%,8%-31%
12750,Texas,Canton Independent School District,2211,11%,17%,9%-25%,31%,26%-37%,2%,1%-4%,23%,14%-31%,8%,0%-16%,0%,0%-2%
12780,Texas,Canutillo Independent School District,6833,25%,32%,26%-38%,29%,26%-32%,8%,6%-11%,19%,13%-24%,3%,2%-5%,35%,28%-43%
12810,Texas,Canyon Independent School District,"11,022",9%,22%,18%-26%,30%,28%-33%,2%,1%-3%,7%,5%-10%,4%,3%-5%,1%,0%-2%
12870,Texas,Carlisle Independent School District,420,17%,17%,0%-33%,23%,15%-31%,2%,0%-6%,41%,17%-66%,1%,0%-5%,0%,0%-6%
12990,Texas,Carrizo Springs Consolidated Independent School District,2180,33%,43%,27%-58%,30%,22%-38%,8%,3%-14%,9%,1%-17%,13%,6%-19%,0%,0%-2%
13020,Texas,Carroll Independent School District,9218,3%,8%,6%-11%,23%,20%-26%,1%,0%-2%,1%,0%-1%,3%,1%-4%,0%,0%-1%
13050,Texas,Carrollton-Farmers Branch Independent School District,"28,916",13%,34%,32%-37%,30%,29%-31%,5%,4%-5%,16%,14%-18%,3%,2%-4%,10%,9%-12%
13110,Texas,Carthage Independent School District,2773,21%,30%,20%-41%,27%,23%-31%,3%,2%-5%,13%,8%-18%,12%,7%-17%,4%,0%-8%
13170,Texas,Castleberry Independent School District,4061,21%,38%,29%-47%,34%,29%-39%,7%,5%-9%,15%,9%-21%,5%,3%-7%,25%,15%-35%
13200,Texas,Cayuga Independent School District,406,16%,14%,0%-29%,25%,13%-38%,7%,1%-13%,21%,3%-39%,6%,0%-14%,0%,0%-10%
13230,Texas,Cedar Hill Independent School District,"10,880",15%,40%,34%-46%,28%,26%-30%,3%,2%-4%,7%,4%-10%,5%,3%-7%,6%,3%-9%
13260,Texas,Celeste Independent School District,482,13%,19%,11%-26%,20%,15%-24%,3%,0%-7%,15%,7%-23%,10%,1%-18%,0%,0%-5%
13290,Texas,Celina Independent School District,2415,6%,13%,5%-21%,24%,20%-29%,3%,1%-6%,13%,0%-26%,1%,0%-3%,9%,0%-24%
13320,Texas,Center Independent School District,3061,30%,39%,29%-49%,25%,20%-30%,6%,3%-9%,26%,15%-37%,14%,9%-20%,9%,4%-15%
13350,Texas,Center Point Independent School District,637,18%,26%,16%-37%,36%,28%-43%,5%,1%-10%,17%,5%-29%,5%,0%-11%,8%,0%-22%
13380,Texas,Centerville Independent School District,79,26%,20%,0%-51%,15%,3%-27%,0%,0%-16%,17%,0%-46%,0%,0%-23%,0%,0%-33%
13410,Texas,Centerville Independent School District,800,32%,54%,30%-78%,21%,15%-28%,0%,0%-2%,32%,10%-54%,9%,1%-17%,0%,0%-3%
13440,Texas,Central Heights Independent School District,799,22%,27%,11%-44%,31%,23%-38%,2%,0%-5%,22%,6%-37%,10%,2%-19%,12%,0%-25%
13500,Texas,Central Independent School District,1199,21%,21%,6%-35%,34%,28%-41%,2%,0%-4%,5%,0%-10%,1%,0%-2%,0%,0%-3%
13530,Texas,Lumberton Independent School District,4190,11%,21%,13%-30%,29%,24%-33%,2%,1%-4%,6%,2%-10%,1%,0%-2%,0%,0%-2%
13590,Texas,Channelview Independent School District,9861,22%,39%,31%-47%,30%,27%-33%,8%,6%-10%,15%,11%-20%,3%,2%-5%,13%,9%-18%
13620,Texas,Channing Independent School District,44,17%,36%,5%-67%,16%,3%-29%,6%,0%-21%,0%,0%-32%,5%,0%-35%,0%,0%-59%
13650,Texas,Chapel Hill Independent School District,3793,22%,32%,22%-42%,30%,25%-35%,4%,2%-5%,12%,5%-19%,6%,3%-10%,4%,0%-9%
13680,Texas,Chapel Hill Independent School District,531,24%,20%,5%-34%,24%,18%-30%,5%,0%-9%,28%,14%-42%,6%,1%-11%,8%,0%-17%
13710,Texas,Charlotte Independent School District,423,27%,55%,35%-74%,21%,13%-29%,12%,6%-18%,18%,2%-35%,9%,3%-15%,4%,0%-13%
13740,Texas,Cherokee Independent School District,122,16%,9%,0%-20%,29%,17%-41%,2%,0%-14%,7%,0%-20%,26%,11%-42%,0%,0%-21%
13770,Texas,Chester Independent School District,396,17%,16%,3%-28%,22%,11%-33%,3%,0%-11%,11%,0%-24%,12%,2%-21%,0%,0%-7%
13800,Texas,Chico Independent School District,930,17%,45%,28%-63%,21%,15%-28%,3%,0%-6%,34%,9%-59%,6%,1%-12%,4%,0%-9%
13860,Texas,Childress Independent School District,1003,22%,28%,11%-46%,20%,14%-26%,0%,0%-2%,9%,1%-17%,13%,1%-25%,0%,0%-4%
13890,Texas,Chillicothe Independent School District,183,24%,10%,0%-21%,13%,6%-19%,2%,0%-9%,23%,3%-42%,11%,0%-23%,2%,0%-14%
13920,Texas,Chilton Independent School District,516,25%,45%,23%-67%,29%,18%-40%,8%,2%-15%,21%,6%-36%,0%,0%-4%,0%,0%-5%
13960,Texas,China Spring Independent School District,2423,9%,18%,11%-25%,31%,25%-37%,3%,0%-5%,13%,6%-19%,3%,1%-5%,1%,0%-2%
13980,Texas,Chireno Independent School District,276,23%,47%,21%-74%,22%,15%-29%,5%,0%-12%,23%,4%-43%,15%,1%-29%,3%,0%-13%
